0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-500000000000000192,-500000000000000192,-1056,-1328,-1453,-500000000000000064,-500000000000000128
-500000000000000064,-1068,-1215,-1317,-1566,-500000000000000064,-500000000000000064
-500000000000000256,-803,-1160,-1085,-1341,-500000000000000000,-500000000000000064
-641,-1063,-1130,-1273,-1320,-500000000000000064,-500000000000000064
-678,-1085,-1053,-1091,-1353,-500000000000000064,-500000000000000064
-747,-986,-1088,-1085,-1362,-500000000000000128,-500000000000000064
-617,-1039,-885,-1223,-1424,-500000000000000000,-500000000000000000
-753,-957,-1050,-1118,-1455,-500000000000000064,-500000000000000064
-681,-797,-975,-1223,-1330,-500000000000000128,-500000000000000192
-989,-772,-1117,-1266,-1413,-500000000000000000,-500000000000000064
-575,-1014,-1065,-1246,-1348,-500000000000000128,-500000000000000064
-637,-926,-1037,-1165,-1425,-500000000000000064,-500000000000000128
-641,-964,-898,-1263,-1365,-500000000000000064,-500000000000000128
-974,-1018,-887,-1172,-1375,-500000000000000064,-500000000000000128
-682,-892,-959,-1184,-1335,-500000000000000064,-500000000000000128
-631,-967,-913,-1136,-1373,-500000000000000064,-500000000000000064
-658,-842,-918,-1351,-1344,-500000000000000064,-500000000000000128
-664,-821,-886,-1168,-1349,-500000000000000064,-500000000000000128
-956,-798,-925,-1098,-1361,-500000000000000000,-500000000000000064
-651,-974,-902,-1040,-1372,-500000000000000128,-500000000000000000
-770,-894,-918,-1155,-1412,-500000000000000064,-500000000000000128
-672,-924,-875,-1183,-1537,-500000000000000064,-500000000000000064
-655,-736,-907,-1046,-1415,-500000000000000064,-500000000000000128
-645,-914,-896,-1155,-1385,-500000000000000064,-500000000000000064
-652,-852,-922,-1044,-1432,-500000000000000064,-500000000000000128
-670,-911,-989,-1214,-500000000000000064,-500000000000000064,-500000000000000064
-633,-759,-994,-1145,-500000000000000064,-500000000000000064,-500000000000000128
-676,-790,-825,-1120,-500000000000000064,-500000000000000000,-500000000000000064
-645,-806,-929,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
-659,-822,-935,-500000000000000064,-500000000000000064,-500000000000000128,-500000000000000064
-628,-921,-891,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
-500000000000000128,-500000000000000320,-924,-1173,-1263,-500000000000000064,-500000000000000128
-500000000000000128,-806,-946,-1019,-1201,-500000000000000064,-500000000000000256
-500000000000000192,-635,-998,-1041,-1338,-500000000000000256,-500000000000000192
-666,-858,-967,-1158,-1122,-500000000000000000,-500000000000000064
-543,-812,-905,-869,-1080,-500000000000000064,-500000000000000064
-445,-771,-851,-927,-1180,-500000000000000064,-500000000000000064
-412,-817,-877,-1024,-1162,-500000000000000192,-500000000000000064
-312,-836,-940,-852,-1228,-500000000000000000,-500000000000000128
-368,-665,-774,-1205,-1134,-500000000000000128,-500000000000000192
-768,-588,-832,-838,-1151,-500000000000000128,-500000000000000064
-564,-750,-875,-831,-1215,-500000000000000064,-500000000000000320
-467,-725,-768,-1000,-1142,-500000000000000064,-500000000000000256
-541,-843,-842,-862,-1133,-500000000000000064,-500000000000000128
-537,-904,-847,-882,-1127,-500000000000000128,-500000000000000064
-521,-740,-865,-886,-1322,-500000000000000000,-500000000000000128
-506,-765,-836,-992,-1415,-500000000000000064,-500000000000000128
-361,-736,-679,-844,-1210,-500000000000000192,-500000000000000064
-500,-698,-776,-944,-1165,-500000000000000064,-500000000000000128
-336,-817,-695,-799,-1111,-500000000000000256,-500000000000000064
-503,-806,-786,-1043,-1316,-500000000000000064,-500000000000000064
-564,-790,-929,-886,-1338,-500000000000000192,-500000000000000064
-515,-719,-717,-888,-1090,-500000000000000000,-500000000000000192
-421,-753,-697,-926,-1109,-500000000000000192,-500000000000000128
-325,-834,-855,-1059,-1331,-500000000000000256,-500000000000000128
-416,-812,-959,-1107,-1401,-500000000000000064,-500000000000000256
-367,-769,-962,-1156,-1408,-500000000000000256,-500000000000000128
-461,-782,-953,-1158,-500000000000000256,-500000000000000000,-500000000000000000
-543,-830,-866,-1049,-500000000000000064,-500000000000000064,-500000000000000256
-476,-768,-841,-500000000000000064,-500000000000000192,-500000000000000128,-500000000000000064
-683,-809,-803,-500000000000000128,-500000000000000128,-500000000000000064,-500000000000000064
-437,-806,-869,-500000000000000128,-500000000000000128,-500000000000000064,-500000000000000192
-500000000000000192,-500000000000000128,-449,-1028,-1038,-500000000000000128,-500000000000000320
-500000000000000192,-859,-412,-869,-854,-500000000000000064,-500000000000000064
-500000000000000064,-260,-845,-787,-874,-500000000000000064,-500000000000000064
-129,-719,-700,-658,-955,-500000000000000192,-500000000000000000
-356,-660,-695,-712,-1059,-500000000000000064,-500000000000000128
-158,-566,-570,-930,-945,-500000000000000192,-500000000000000256
-81,-464,-562,-606,-976,-500000000000000128,-500000000000000192
-297,-619,-606,-613,-818,-500000000000000128,-500000000000000064
-288,-546,-611,-560,-1035,-500000000000000064,-500000000000000128
-181,-561,-610,-682,-865,-500000000000000128,-500000000000000064
-124,-625,-588,-674,-967,-500000000000000064,-500000000000000064
-142,-542,-675,-600,-946,-500000000000000128,-500000000000000064
-252,-609,-567,-724,-794,-500000000000000000,-500000000000000064
-248,-681,-579,-699,-911,-500000000000000000,-500000000000000000
-196,-562,-684,-600,-846,-500000000000000064,-500000000000000064
-39,-631,-492,-684,-852,-500000000000000064,-500000000000000000
-177,-600,-563,-553,-1072,-500000000000000128,-500000000000000064
-51,-279,-747,-709,-947,-500000000000000064,-500000000000000064
-486,-175,-378,-614,-834,-500000000000000128,-500000000000000064
-121,-446,-499,-567,-804,-500000000000000064,-500000000000000000
-77,-504,-751,-621,-797,-500000000000000064,-500000000000000192
-198,-469,-445,-554,-784,-500000000000000064,-500000000000000064
-63,-368,-573,-651,-833,-500000000000000064,-500000000000000064
-90,-452,-473,-629,-803,-500000000000000064,-500000000000000000
-135,-370,-363,-547,-817,-500000000000000064,-500000000000000064
-130,-475,-476,-572,-500000000000000000,-500000000000000000,-500000000000000064
-102,-458,-524,-690,-500000000000000064,-500000000000000000,-500000000000000000
-99,-453,-537,-542,-500000000000000064,-500000000000000064,-500000000000000064
-70,-465,-392,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
-358,-374,-373,-500000000000000128,-500000000000000128,-500000000000000256,-500000000000000128
-126,-440,-436,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
